,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
1230632,1,3000.0,2965.89,0.0,0.0,251.0,100.0,5,0.0,1
1230666,1,500.0,630.8,0.0,0.0,81.0,0.0,1,0.0,1
1230756,1,2500.0,2401.19,0.0,0.0,217.0,0.0,5,0.0,1
1230760,1,2500.0,2442.5,0.0,0.0,219.0,0.0,5,0.0,1
1230763,1,2500.0,2478.19,0.0,0.0,216.0,0.0,5,0.0,1
1231947,1,3500.0,3692.64,0.0,0.0,419.0,0.0,5,0.0,1
1231948,1,3500.0,3622.55,0.0,0.0,314.0,0.0,5,0.0,1
1231966,1,2000.0,1587.13,0.0,0.0,141.0,0.0,5,0.0,1
1232752,1,500.0,587.19,0.0,0.0,81.0,0.0,1,0.0,1
1233916,1,4900.0,5033.52,0.0,0.0,401.0,0.0,5,0.0,1
1234003,2,10000.0,8419.76,0.0,0.0,1012.0,0.0,5,0.0,1
1234004,2,10000.0,8271.21,0.0,0.0,759.0,500.0,5,0.0,1
1234006,2,10000.0,8512.18,0.0,0.0,752.0,0.0,5,0.0,1
1234009,2,10000.0,8887.91,0.0,0.0,787.0,0.0,5,0.0,1
1234226,1,2500.0,2631.97,0.0,0.0,225.0,0.0,1,0.0,1
1234229,1,2500.0,2647.03,0.0,0.0,225.0,0.0,1,0.0,1
1235013,1,1000.0,1089.13,0.0,0.0,90.0,0.0,1,0.0,1
1236222,1,1000.0,963.89,0.0,0.0,83.0,0.0,5,0.0,1
